amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids
249-6761834-3849461	249-6761834-3849461	2025-12-06T22:08:59+09:00	2025-12-08T09:51:44+09:00	Shipped	Amazon	Amazon.co.jp		Expedited	[Ufa] お食事エプロン 保育士監修 柔らか素材 保育園 3Dポケット 洗濯機OK 名前タグ付き (お花)	FP-SCA8-6GT7	B0D89DTD29	Shipped	1	JPY	1100.0	100.0								東京都	168-0063	JP	
250-7125563-3329406	250-7125563-3329406	2025-12-06T17:50:40+09:00	2025-12-06T23:46:49+09:00	Shipped	Amazon	Amazon.co.jp		Expedited	[Ufa] お食事エプロン 保育士監修 柔らか素材 保育園 3Dポケット 洗濯機OK 名前タグ付き (はたらくくるま)	57-N07P-7S8G	B0D894LS44	Shipped	1	JPY	1100.0	100.0								大阪府	569-1123	JP	
250-4741647-2183008	250-4741647-2183008	2025-12-06T17:12:39+09:00	2025-12-12T13:50:33+09:00	Shipped	Amazon	Amazon.co.jp		Expedited	[Ufa] お食事エプロン 保育士監修 柔らか素材 保育園 3Dポケット 洗濯機OK 名前タグ付き (３枚セットＢ)	8X-H22C-J2LI	B0FRZ2D3G2	Shipped	1	JPY	2980.0	271.0								兵庫県	674-0065	JP	
250-5019202-1603831	250-5019202-1603831	2025-12-06T16:19:00+09:00	2025-12-06T21:28:56+09:00	Shipped	Amazon	Amazon.co.jp		Expedited	[Ufa] お食事エプロン 保育士監修 柔らか素材 保育園 3Dポケット 洗濯機OK 名前タグ付き (無地（赤）)	O8-80TH-VH3Y	B0DBS1ZQ7K	Shipped	1	JPY	1100.0	100.0								大阪府	542-0063	JP	
503-8778244-1834218	503-8778244-1834218	2025-12-06T10:18:39+09:00	2025-12-07T01:23:24+09:00	Shipped	Amazon	Amazon.co.jp		Expedited	[Ufa] お食事エプロン 保育士監修 柔らか素材 保育園 3Dポケット 洗濯機OK 名前タグ付き (クマさん)	90-4Q10-EDV3	B0DBS2CK1T	Shipped	1	JPY	1100.0	100.0								埼玉県	344-0023	JP	
